[ ID] Interval       Transfer     Bandwidth
[  1] 202.0000-203.0000 sec  1.05 GBytes  9.02 Gbits/sec
[  1] 203.0000-204.0000 sec  1.06 GBytes  9.14 Gbits/sec
[  1] 204.0000-205.0000 sec  1.06 GBytes  9.09 Gbits/sec
[  1] 205.0000-206.0000 sec  1.00 GBytes  8.60 Gbits/sec
[  1] 206.0000-207.0000 sec   974 MBytes  8.17 Gbits/sec
[  1] 207.0000-208.0000 sec   959 MBytes  8.05 Gbits/sec
[  1] 208.0000-209.0000 sec   855 MBytes  7.17 Gbits/sec
[  1] 209.0000-210.0000 sec  1.04 GBytes  8.97 Gbits/sec
[  1] 210.0000-211.0000 sec  1.02 GBytes  8.77 Gbits/sec
[  1] 211.0000-212.0000 sec  1.05 GBytes  9.02 Gbits/sec
[  1] 212.0000-213.0000 sec  1.03 GBytes  8.83 Gbits/sec
[  1] 213.0000-214.0000 sec  1.04 GBytes  8.93 Gbits/sec
[  1] 214.0000-215.0000 sec  1.01 GBytes  8.68 Gbits/sec
[  1] 215.0000-216.0000 sec  1.03 GBytes  8.83 Gbits/sec
[  1] 216.0000-217.0000 sec  1.03 GBytes  8.88 Gbits/sec
[  1] 217.0000-218.0000 sec  1.06 GBytes  9.08 Gbits/sec
[  1] 218.0000-219.0000 sec  1.00 GBytes  8.60 Gbits/sec
[  1] 219.0000-220.0000 sec   894 MBytes  7.50 Gbits/sec
[  1] 220.0000-221.0000 sec  1.04 GBytes  8.93 Gbits/sec
[  1] 221.0000-222.0000 sec  1.05 GBytes  9.04 Gbits/sec
[  1] 222.0000-223.0000 sec  1.02 GBytes  8.74 Gbits/sec
[  1] 223.0000-224.0000 sec  1.03 GBytes  8.86 Gbits/sec
[  1] 224.0000-225.0000 sec  1.01 GBytes  8.65 Gbits/sec
[  1] 225.0000-226.0000 sec  1.00 GBytes  8.61 Gbits/sec
[  1] 226.0000-227.0000 sec  1024 MBytes  8.59 Gbits/sec
[  1] 227.0000-228.0000 sec  1.05 GBytes  9.00 Gbits/sec
[  1] 228.0000-229.0000 sec  1.03 GBytes  8.83 Gbits/sec
[  1] 229.0000-230.0000 sec  1.06 GBytes  9.12 Gbits/sec
[  1] 230.0000-231.0000 sec  1.03 GBytes  8.81 Gbits/sec
[  1] 231.0000-232.0000 sec  1012 MBytes  8.49 Gbits/sec
[  1] 232.0000-233.0000 sec   961 MBytes  8.06 Gbits/sec
[  1] 233.0000-234.0000 sec  1.02 GBytes  8.79 Gbits/sec
[  1] 234.0000-235.0000 sec  1.01 GBytes  8.65 Gbits/sec
[  1] 235.0000-236.0000 sec  1.05 GBytes  9.01 Gbits/sec
[  1] 236.0000-237.0000 sec  1.04 GBytes  8.90 Gbits/sec
[  1] 237.0000-238.0000 sec  1.01 GBytes  8.71 Gbits/sec
[  1] 238.0000-239.0000 sec  1.02 GBytes  8.74 Gbits/sec
[  1] 239.0000-240.0000 sec  1.03 GBytes  8.85 Gbits/sec
[  1] 240.0000-241.0000 sec  1.02 GBytes  8.78 Gbits/sec
[  1] 241.0000-242.0000 sec  1.03 GBytes  8.87 Gbits/sec
[  1] 242.0000-243.0000 sec  1.03 GBytes  8.83 Gbits/sec
[  1] 243.0000-244.0000 sec  1.06 GBytes  9.08 Gbits/sec
[  1] 244.0000-245.0000 sec  1.04 GBytes  8.97 Gbits/sec
[  1] 245.0000-246.0000 sec  1.04 GBytes  8.89 Gbits/sec
[  1] 246.0000-247.0000 sec  1.01 GBytes  8.71 Gbits/sec
[  1] 247.0000-248.0000 sec  1.02 GBytes  8.74 Gbits/sec
[  1] 248.0000-249.0000 sec  1.01 GBytes  8.70 Gbits/sec
[  1] 249.0000-250.0000 sec  1.03 GBytes  8.89 Gbits/sec
[  1] 250.0000-251.0000 sec  1.07 GBytes  9.19 Gbits/sec
[  1] 251.0000-252.0000 sec  1.08 GBytes  9.25 Gbits/sec
[  1] 252.0000-253.0000 sec  1.06 GBytes  9.10 Gbits/sec
[  1] 253.0000-254.0000 sec   980 MBytes  8.22 Gbits/sec
[  1] 254.0000-255.0000 sec  1.02 GBytes  8.76 Gbits/sec
[  1] 255.0000-256.0000 sec  1.04 GBytes  8.95 Gbits/sec
[  1] 256.0000-257.0000 sec  1.06 GBytes  9.13 Gbits/sec
[  1] 257.0000-258.0000 sec  1012 MBytes  8.49 Gbits/sec
[  1] 258.0000-259.0000 sec  1004 MBytes  8.42 Gbits/sec
[  1] 259.0000-260.0000 sec   982 MBytes  8.24 Gbits/sec
[  1] 260.0000-261.0000 sec  1017 MBytes  8.53 Gbits/sec
[  1] 261.0000-262.0000 sec  1.01 GBytes  8.64 Gbits/sec
[  1] 262.0000-263.0000 sec  1008 MBytes  8.46 Gbits/sec
[  1] 263.0000-264.0000 sec   990 MBytes  8.31 Gbits/sec
[  1] 264.0000-265.0000 sec  1003 MBytes  8.41 Gbits/sec
[  1] 265.0000-266.0000 sec  1023 MBytes  8.58 Gbits/sec
[  1] 266.0000-267.0000 sec  1003 MBytes  8.41 Gbits/sec
[  1] 267.0000-268.0000 sec  1018 MBytes  8.54 Gbits/sec
